Name,Address,Description,Phone,2nd Phone,Website
CAW Public Review Board,"215 Spadina Ave, Toronto, ON M5T 2C7",No description,416-861-1291,No second phone number,www.cawprb.ca
Southern Ontario Newspaper Guild CEP Local 87M,"1253 Queen St E, Toronto, ON M4L 1C2","While skilled craft workers such as printers and press operators had long been organized at most major papers, the union idea was new to reporters, editors, advertising sales staff...
more...
See more text",416-461-2461,1-800-463-5797,www.song.on.ca
Southern Ontario Newspaper Guild CEP Local 87M,"1253 Queen St E, Toronto, ON M4L 1C2",No description,416-778-5143,No second phone number,No website
Canadian Union Of Public Employees Local 79,"34 St Patrick, ON M5T 1V1",No description,416-977-1629,No second phone number,No website
Canadian Union Of Public Employees,"34 Patrick Blvd, Toronto, ON M2J 3L2",No description,416-977-1629,No second phone number,www.cupelocal79.org
C U P E Local 241 & Local 973,"100 Crimea St, Guelph, ON N1H 2Y6",No description,519-826-9515,No second phone number,cupelocal241.ca
Local 75 Coop,"60 Richmond St E, Toronto, ON M5C 1N8","Local 75 of Unite Here to work together to develop a housing co-op for low income hotel and restaurant workers employed downtown. In June, 2006 Toronto City Council approved leasin...
more...
See more text",416-366-2667,No second phone number,www.local75co-op.webs.com
Opseu Local 500,"1048 Queen St W, Toronto, ON M6J 1H7",No description,416-532-2712,No second phone number,www.opseu.org
The Writers Union of Canada,"460 Richmond St W, Toronto, ON M5V 1Y1",No description,416-703-8982,No second phone number,www.writersunion.ca
Nabet 700-M Unifor,"303-100 Lombard St, Toronto, ON M5C 1M3",No description,416-536-4827,No second phone number,nabet700.com
Cope Ontario,"555 Richmond W, Toronto, ON M5V 3B1","The Canadian Office and Professional Employees Union Local 343 has a long history of representing its membership through collective bargaining, grievances, arbitrations and other l...
more...
See more text",416-703-2581,No second phone number,cope343.com
Canadian Union Of Public Employees,"6 Adelaide St E, Toronto, ON M5C 1H6",No description,416-363-0684,No second phone number,www.cupe.ca
Professional Institute Of The Public Service OfCanada,"110 Yonge St, Toronto, ON M5C 1T4",No description,416-487-1114,No second phone number,www.facebook.com%2F141722349822
I A T S E Local 58 Stagehand Union,"511 Adelaide St W, Toronto, ON M5V 1T4","Welcome to IATSE Local 58's Home on the Web. Local 58 is the Toronto local of the International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Alli...
more...
See more text",416-364-5565,No second phone number,iatse58.org
IATSE 822,"511 Adelaide St W, Toronto, ON M5V 1T4",No description,416-622-9007,No second phone number,www.iatse822.com
Canadian Union Of Public Employees - Local 1334,"25 University Ave E, Guelph, ON N1G 1M8",No description,519-836-5470,No second phone number,www.cupe.ca
Mellon Bank N A Canada Branch,"95 Wellington St W, Toronto, ON M5J 2N7",No description,416-860-0777,No second phone number,No website
United Steel Workers Local 889,"73 Mill St S, Port Hope, ON",No description,905-885-0939,No second phone number,No website
Canadian Media Guild,"144 Front St W, Toronto, ON M5J 2L7",No description,416-591-5334,1-800-465-4149,cmgtoronto.ca
The Canadian Media Guild,"144 Front St W, Toronto, ON M5J 2L7",No description,416-709-7692,1-800-465-4149,cmgtoronto.ca
Go Transit Metrolinx,"385 Cherry St, Toronto, ON M5A 3L4","Metrolinx, an agency of the Government of Ontario. The organization's mission is to champion, develop and implement an integrated transportation system for our region that enhances...
more...
See more text",416-364-8703,No second phone number,www.metrolinx.com
Canadain Media Guild,"310 Front W, Toronto, ON M5V 3B5",No description,416-591-5333,No second phone number,www.cmgaptn.ca
United Steelworkers,"21 College Ave W Main, Guelph, ON N1G 1R7",No description,519-766-4120,No second phone number,No website
Go Transit Metrolinx,"143 Lake Shore Blvd E, Toronto, ON M5A 1B7",No description,416-364-7411,No second phone number,No website
Access Workforce,"4 Robert Speck Parkway Fl 15, ON",No description,905-366-7304,No second phone number,No website
Allied Irish Banks,"20 Bay St, Toronto, ON M5J 2N8",No description,416-850-2191,No second phone number,personal.aib.ie
Amalgamated Transit Union Local 1587,"701 Evans Ave, Etobicoke, ON M9C 1A3",No description,416-695-3896,No second phone number,www.atu1587.ca
Plumbers & Steamfitters UA Local No 527,"225 Frobisher Dr, Waterloo, ON N2V 2G4",No description,519-746-3300,No second phone number,www.ua527.com
Local 6409,"6409-11 Station Rd, Etobicoke, ON M8V 2R1",No description,705-568-8322,No second phone number,No website
Ibew Local 804,"5158 Fountain N, ON N0B 1M0",No description,519-648-3443,No second phone number,No website
Unifor Local 414,"274 Alliance, Milton, ON L9T 2V2",No description,905-875-0420,1-866-875-0420,www.cawlocal414.ca
CAW Local 414,"1-274 Alliance Rd, Milton, ON L9T 2V2",No description,905-875-0411,No second phone number,cawlocal414.ca
Opseu Local 234,"661 Martin St, Milton, ON L9T 8Z1",No description,905-864-9197,No second phone number,No website
Ontario Sheet Metal Workers & RoofersConference,"1312 Hurontario St, Mississauga, ON L5G 3H3",No description,905-278-2280,No second phone number,osmwrc.com
Teamsters Union Local 879,"3 Forwell Rd, Kitchener, ON N2B 1W3",No description,519-741-8792,No second phone number,No website
USW Local 838,"33 Bridgeport Rd E, Waterloo, ON N2J 2J4",No description,519-342-2239,No second phone number,www.usw.ca
USW Local 838,"33 Bridgeport Rd E Lower, Waterloo, ON N2J 2J4",No description,519-579-4120,No second phone number,No website
Canadian Union Of Public Employees,"1120 Victoria St N, Kitchener, ON N2B 3T2",No description,519-743-7781,No second phone number,cupe.ca
Opseu Local 234,"42 Bronte St S, Milton, ON L9T 5A8",No description,905-693-9329,No second phone number,No website
Ibew Local 804,"5158 Fountain St N, Breslau, ON N0B 1M0",No description,519-648-3993,No second phone number,No website
USWA Local 838,"141 King St E, Kitchener, ON N2G 2K8",No description,519-579-0573,No second phone number,www.usw.ca
United Steel Workers of America,"141 King St E, Kitchener, ON N2G 2K8",No description,519-745-7681,No second phone number,No website
Canadian Health Care Workers Union,"8 Inadale Crt, Kitchener, ON N2M 2Z8",No description,519-743-3952,No second phone number,www.facebook.com%2Fpages%2FCanadian-Health-Care-Workers-Union%2F215067412191
Brick And Allied Craft Union Of Canada,"124 Sydney St S, Kitchener, ON N2G 3V2",No description,519-744-2761,No second phone number,bacu.ca
United Food & Commercial Workers Local 175 & 633,"65 Harold Ave, Kitchener, ON N2A 2H9",No description,519-744-8357,No second phone number,No website
Canadian Union Of Public Employees,"Kitchener, ON N2B 3T",No description,519-749-2172,No second phone number,No website
C U P E Local 1883,"451 Ottawa St S, Kitchener, ON N2M 3P6",No description,519-571-1452,No second phone number,No website
Cupe Local 5200,"336 Bronte St S, Milton, ON L9T 7W6",No description,905-876-4222,No second phone number,No website
U F C W Local 1977,"6628 Ellis Rd, Cambridge, ON N3C 2V4",No description,519-658-0252,No second phone number,www.ufcw1977.ca
Canadian Union Of Postal Workers Local 560,"27 Manitou Dr, Kitchener, ON N2C 1K9",No description,519-895-2655,No second phone number,www.cupw.ca
CLAC,"64 Saltsman Dr, Cambridge, ON N3H 4R7","Formed in 1952, CLAC is one of Canada’s fastest-growing unions. Operating through 15 member centres, it is the country’s largest national, independent, multi-sector union represent...
more...
See more text",1-877-701-2522,No second phone number,clac.ca
Christian Labour,"45 Commerce Crt, Cambridge, ON N3C 4P7","Formed in 1952, CLAC is one of Canada’s fastest-growing unions. Operating through 15 member centres, it is the country’s largest national, independent, multi-sector union represent...
more...
See more text",519-653-3002,1-877-701-2522,clac.ca%2FYour-work%2FJ
Christian Labour Association Of Canada,"64 Saltsman dr, ON",No description,1-877-701-2522,No second phone number,clac.ca
Canadian Auto Workers Local 1524,"600 Wabanaki Dr, Kitchener, ON N2C 2K4",No description,519-893-7484,No second phone number,www.caw1524.com
Labourers International Union For North America,"1315 North Service Rd E, Oakville, ON L6H 1A7",No description,289-291-3678,No second phone number,www.liuna.ca
Canadian Auto Workers-CAW,"1011 Homer Watson Blvd, Kitchener, ON N2C 1L8",No description,519-748-9518,No second phone number,caw.ca
United Carpenters Union,"680 Fountain St, Cambridge, ON N3H 4R7",No description,519-653-7543,No second phone number,No website
United Brotherhood Carpenters & Joiners Of America Local 785,"680 Fountain St, Cambridge, ON N3H 4R7",No description,519-653-2837,No second phone number,www.local785.ca
Labourers' International Union Local 1081,"330 Industrial Rd, Cambridge, ON N3H 4R7",Join the LiUNA! Action network to get involved - it's your union! Learn more by signing up with LiUNA!,519-653-3333,No second phone number,www.liuna.org%2Fh
United Steelworkers,"2445 Eagle St N, Cambridge, ON N3H 4R7",No description,519-650-3405,No second phone number,www.usw.ca
International Union Of Operating Engineers,"1 Millennium Pky Rr 5, Belleville, ON K8N 4Z5",No description,613-968-6302,No second phone number,No website
United Steel Workers,"359 Lawrence St, Cambridge, ON N3H 5E9",No description,519-219-0739,No second phone number,usw.ca
OPSEU Local 213,"475 North Service Rd E, Oakville, ON L6H 1A5",No description,905-844-4698,No second phone number,No website
Unifor Local 707,"475 North Service Rd E, Oakville, ON L6H 1A5","Welcome to the Unifor Local 707 Banquet Hall'.

Conveniently located just off the QEW Highway at Trafalgar Road in Oakville the Unifor Local 707
has ample Free Parking for all your...
more...
See more text",905-844-9451,No second phone number,uniforlocal707.org
Canadian Auto Workers Local 707,"475 North Service Rd E, Oakville, ON L6H 1A5",No description,905-844-9671,No second phone number,No website
Teamsters Canada Rail Conference,"3-20 Joseph St, Trenton, ON K8V 4A1",No description,613-955-1609,No second phone number,No website
United Brotherhood Of Carpenters & Joiners Of America Local 2041,"8560 Campeau Dr, Ottawa, ON K2T 0N7",No description,613-746-1265,No second phone number,www.local2041.org
The Pulp,"95 Ontario St, Stratford, ON N5A 3H1",No description,519-305-7857,No second phone number,No website
Stratford & District Labour Centre,"182 King St, Stratford, ON N5A 4S1",No description,519-273-0300,No second phone number,No website
CAW Local 4451,"703 Douro St, Stratford, ON N5A 3T1",No description,519-273-2784,No second phone number,www.cawlocal.ca
Cupe 1022 Belleville,"2-135 Cannifton Rd, Belleville, ON K8N 4V4",No description,613-966-0108,No second phone number,No website
United Auto Workers Local 1839,"160 Catharine St, Belleville, ON K8P 1M8",No description,613-962-8122,No second phone number,No website
CAW Local 830,"160 Catharine St, Belleville, ON K8P 1M8",No description,613-968-5483,No second phone number,No website
CAW Local 1256,"123 Maurice Dr, Oakville, ON L6K 2W6",No description,905-844-0079,No second phone number,www.cawlocal1256.com
International Association Of Machinists And Aerospace Workers,"577 Erie St, Stratford, ON N5A 2N7",No description,519-271-2983,No second phone number,No website
Syndicat des Co-Proprietaires du 240 Blvd D'Europe,"240 boul d'Europe, Gatineau, QC J9J 0A5",No description,819-775-3656,No second phone number,No website
Syndicat Des Copropriétaires Du 500 Riel Ii,"72, rue du Ravin-Bleu, Gatineau, QC J8Z 1X8",No description,819-778-6391,No second phone number,No website
Workers Help Centre,"158 George St, Belleville, ON K8N 3H2",No description,613-969-4357,No second phone number,No website
Syndicat Copropriete Cote DAzur Phase I,"479 Rue De Cannes, Gatineau, QC J8V 4E6",No description,819-243-9191,No second phone number,No website
Le Syndicat 469 Cannes,"469, rue de Cannes, Gatineau, QC J8V 4E6",No description,819-246-7832,No second phone number,No website
C E P Union Of Canada Local 593,"785 Pacific Rd, Oakville, ON L6L 6M3",No description,905-847-0130,No second phone number,No website
International Union Of Operating Engineers Local793,"2245 Speers, Oakville, ON L6L 6X8",No description,905-469-9299,No second phone number,iuoelocal793.org
United Steelworkers Local 862,"52 Middleton St, Cambridge, ON N1S 2R4",No description,519-740-3461,No second phone number,No website
Syndicat Des Cols Bleus De Gatineau,"124 Av Gatineau, Gatineau, QC J8T 4J6",No description,819-776-5269,No second phone number,No website
S E S C P P,"178, rue Jean-Proulx, Gatineau, QC J8Z 1V3",No description,819-777-4199,No second phone number,No website
Burlington Technical Services Canada Inc,"5500 N Service Rd, Burlington, ON L7L 6W6",No description,289-427-5697,No second phone number,www.facebook.com%2F172019980147
Cupe Local 2976,"10 Sunset Blvd, Perth, ON K7H 2Y2",No description,613-267-7194,No second phone number,No website
Syndicat Des Travailleurs & Des Travailleuses DeLa Santé CHVO-CSN,"116, boul Lionel-Émond, Gatineau, QC J8Y 1W7",No description,819-771-2931,No second phone number,No website
"Syndicat Des Copropriétaires Château Golf, Bloc 8","141, rue d'Augusta, Gatineau, QC J9H 0A4",No description,819-772-0094,No second phone number,No website
Communications Energy & Paperworkers Union Local12,"28-Dup Albert W, Plattsville, ON N0J 1S0",No description,519-684-7346,No second phone number,No website
Syndicat De Neufchâtel,"110, rue du Château, Gatineau, QC J9A 1T4",No description,819-773-3338,No second phone number,No website
International Brotherhood Of Boilermakers,"1035 Sutton Dr, Burlington, ON L7L 5Z8",No description,905-332-0128,No second phone number,128.boilermaker.ca
Boilermakers Educational And Apprenticeship,"1035 Sutton Dr, Burlington, ON L7L 5Z8",No description,905-332-8109,No second phone number,www.boilermaker.ca
Syndicat Du 97 Ernest Gaboury,"97, rue Ernest-Gaboury, Gatineau, QC J8V 0G2",No description,819-246-7215,No second phone number,No website
Fédération Interprofessionnelle de la Santé du Québec (FIQ),"230-370, boul Gréber, Gatineau, QC J8T 5R6",No description,819-568-4243,1-800-567-9651,www.fiqsante.qc.ca
Fipoe,"259 Boulevard St-Joseph, Ottawa-Gatineau Metro Area, QC J8Y 6T1",No description,819-778-7000,No second phone number,fipoe.org
Syndicat Des Travailleurs Et Travailleuses De Resto-Casino De Hull,"1, boul du Casino, Gatineau, QC J8Y 6W3",No description,819-770-1963,No second phone number,No website
Union des Employes es de Service Section Local 8 00,"259 Boul Saint-Joseph, Gatineau, QC J8Y 6T1",No description,819-771-2800,No second phone number,No website
Syndicat Des Travailleurs Et Travailleuses En Communication Et En Electricité Du Canada-Local 80,"259 Blvd St Joseph, Gatineau, QC J8Y 6T1",No description,819-771-0960,No second phone number,No website
Ottawa Carleton Elementary Occasional Teachers' Association,"1150 Morrison Drive, Ottawa, ON K2H 8S9",No description,613-221-9135,No second phone number,www.oceota.com
E T F O Halton,"4475 North Service Rd, Burlington, ON L7L 4X7",No description,905-332-1633,No second phone number,www.etfohalton.on.ca
ECWU Local 8117,"2199 Silverbirch Crt, Burlington, ON L7M 3H6",No description,905-331-8657,No second phone number,No website
Labourers' International Union of North America Local Local 527,"201-430, boul de l'Hôpital, Gatineau, QC J8V 1T7",No description,819-776-1114,No second phone number,www.facebook.com%2FLiunaCan
TUAC Québec,"1400, rue Saint-Louis, Gatineau, QC J8T 2N1",No description,819-777-8822,No second phone number,No website
Syndicat des Co Propriétaires du Domaine De La Gappe 535,"535 Bd de la Gappe, Gat, QC J8T 8R6",No description,819-561-6271,No second phone number,No website
Conseil De District 97,"205-53, rue Bellehumeur, Gatineau, QC J8T 6K5",No description,819-776-6924,No second phone number,No website
Ottawa Carleton Elementary Teachers' Federation,"1150 Morrison Dr, Ottawa, ON K2H 8S9",No description,613-596-3932,No second phone number,www.ocetf.org
Syndicat Pointe Des Prés Phase 6,"146, rue de Lausanne, Gatineau, QC J8T 6R4",No description,819-246-3003,No second phone number,No website
Sheet Metal Workers International Assn L U 47,"267 Richmond Rd, Ottawa, ON K1Z 6X3","We at Local 47 are proud to represent sheet metal workers, roofers, sheeters & deckers, and production fabricators within the Eastern part of Ontario along the St. Lawrence River f...
more...
See more text",613-724-6116,No second phone number,www.smwia47ottawa.org
Syndicat Manoir St Laurent,"200 Boul Des Allumettières, Gatineau, QC J8X 4K2",No description,819-772-6860,No second phone number,No website
John Rathwell Photography,"484 Churchill Ave N, Ottawa, ON K1Z 5E2",No description,613-222-8200,No second phone number,www.facebook.com%2F1481244585278
Burlington Professional Firefighters Assoc Local 1552 Office,"2300 Upper Middle Rd, Burlington, ON L7P 5A9",No description,905-335-5395,No second phone number,No website
Syndicat De La Copropriété Le Viu,"185 Laurier Gat Nc, QC J8X 4G3",No description,819-778-2355,No second phone number,No website
Alliance de la Fonction Publique du Canada,"200 Prom Du Portage, Gatineau, QC J8P 6H9",No description,819-777-4647,No second phone number,www.psac-ncr.com
Public Service Alliance,"701-11 Holland Ave, Ottawa, ON K1Y 4S1",No description,613-560-2560,No second phone number,psac-ncr.com
Osstf Octu District 20,"103-3390 South Service Rd, Burlington, ON L7N 3J5",No description,905-691-0467,No second phone number,www.osstfd20.ca%2Foctu.h
United Food & Commercial Workers,"20 Hamilton Ave N, Ottawa, ON K1Y 1B6",No description,613-725-2154,No second phone number,www.facebook.com%2Fufcwlocals175633%3Fref%3D
CUPE Local 5500,"1505 Carling Ave, Ottawa, ON K1Z 7L9",No description,613-565-3118,No second phone number,www.facebook.com%2F166078260110
Syndicat Ottawa Carleton De La Fonction Publique SCFP 503,"1505 Carling Ave, Ottawa, ON K1Z 7L9",No description,613-230-2456,No second phone number,cupe503.com
International Brotherhood Of Electrical WorkersLocal 2228,"1091 Wellington St W, Ottawa, ON K1Y 2Y4",No description,613-725-3608,No second phone number,www.ibew-fioe2228.ca
Canadian Union Of Public Employees,"1375 St. Laurent Blvd, Ottawa, ON K1G 0Z7",No description,613-842-0256,No second phone number,No website
UTU (Smart),"280 Albert St, Ottawa, ON K1P 5G8",No description,613-747-7979,No second phone number,No website
United Steelworkers Legislative Office,"280 Albert St, Ottawa, ON K1P 5G8",No description,613-731-6315,No second phone number,www.usw.ca
Cupe Local4540,"A288 Dalhousie, Ottawa, ON K1N 7E6",No description,613-244-1575,No second phone number,No website
Civic Institute Of Professional Personnel,"117 Centrepointe Dr, Nepean, ON K2G 5X3",No description,613-241-3730,No second phone number,www.cipp.on.ca
News Canada Inc,"3345 Rexway Dr, Burlington, ON L7N 2L2",No description,1-888-855-6397,No second phone number,www.facebook.com%2F730179140513
Canadian Association of Professional Employees,"100 Queen, Ottawa, ON K1P 1J9",No description,613-236-9181,1-800-265-9181,www.acep-cape.ca
CAW & TCA Local 4270,"1 Rideau St, Ottawa, ON K1N 8S7",No description,613-241-6562,No second phone number,No website
Teamsters Canada Rail Conference,"130 Albert St, Ottawa, ON K1P 5G4",No description,613-235-1828,No second phone number,www.teamstersrail.ca
International Union Of Bricklayers,ON K1P 5J,No description,613-233-8614,No second phone number,No website
Canadian Union Of Public Employees Local 2204,"251 Bank St, Ottawa, ON K2P 1X3",No description,613-233-0228,No second phone number,No website
Actra,"170-2 Daly Ave, Ottawa, ON K1N 6E2",No description,613-565-2168,No second phone number,www.actraottawa.ca
Service Employee International,"503-331 Cooper St, Ottawa, ON K2P 0G5",No description,613-567-3528,No second phone number,seiulocal1.org
United Association Plumbers & Pipefitters,"225 Metcalfe St, Ottawa, ON K2P 1P9",No description,613-565-1100,No second phone number,uacanada.ca
Canadian Union Of Postal Workers National Headquarters,"377 Bank St, Ottawa, ON K2P 1Y3",No description,613-236-7238,No second phone number,No website
Canadian Union Of Postal Workers,"377 Bank St, Ottawa, ON K2P 1Y3",No description,613-236-7238,No second phone number,www.cupw.ca
Canadian Union Of Postal Workers,"377 Bank St, Ottawa, ON K2P 1Y3",No description,613-236-9753,No second phone number,No website
Hospitality & Service Trades Union Loc 261 & 261A,"2-200 Cooper St, Ottawa, ON K2P 0G1","Hospitality & Service Trades Union, Local 261 & 261A in Ottawa is committed to adequately represent workers from the hotel and food-service industry. Since its inception, the union...
more...
See more text",613-238-8136,1-866-478-8261,No website
Hotels Clubs Restrnts Taverns Employees Union Loc 261 & 261A,"2-200 Cooper St, Ottawa, ON K2P 0G1","About HSTU Local 261.
On November 1, 1956, The Hospitality & Service Trades Union, Local 261 received its charter as a registered union and from that day forward we have been repre...
more...
See more text",613-238-8136,1-866-478-8261,hstu261.org
Ottawa District Labour,"280 Metcalfe, Ottawa, ON K2P 1R7",No description,613-230-8404,No second phone number,No website
Labour Community Services,"5-280 Metcalfe St, Ottawa, ON K2P 1R7",No description,613-233-9180,No second phone number,ottawalabour.org
Alliance Employees' Union,"280 Metcalfe St, Ottawa, ON K2P 1R7",No description,613-237-1147,No second phone number,No website
Ottawa District Labour Council,"5-280 Metcalfe St, Ottawa, ON K2P 1R7",No description,613-233-7820,No second phone number,ottawalabour.org
Musicians' Association Of Ottawa-Gatineau,"301-280 Metcalfe St, Ottawa, ON K2P 1R7","The mission of the Musicians' Association of Ottawa-Gatineau, Local 180, AFM is to defend and promote the economic, social, and professional interests of its members who are free-l...
more...
See more text",613-235-3253,1-855-235-2353,musiciansassociation180.org
Ontario Nurses Association,"1400 Clyde Ave, Nepean, ON K2G 3J2",No description,613-226-3733,No second phone number,www.ona.org
Alliance de la Fonction Publique du Canada,"1000-233 Gilmour St, Ottawa, ON K2P 0P2",No description,613-560-4306,No second phone number,www.agrunion.com
National Health & Welfare Union of the PSAC,"1202-233 Gilmour St, Ottawa, ON K2P 0P2",No description,613-237-2732,No second phone number,No website
CUPE Local 2626,"85 Université Pvt, Ottawa, ON K1N 6N5",No description,613-562-5345,No second phone number,www.facebook.com%2F1978155985733
The Public Service Alliance Of Canada,"32 Gilmour St, Ottawa, ON K2P 0N3",No description,613-236-0062,No second phone number,www.facebook.com%2F477782735753
Canadian Union Of Public Employees Local 4000 OfOttawa Hospital,"182 Isabella St, Ottawa, ON K1S 1V7",No description,613-722-0652,No second phone number,www.cupe4000.com
Public Service Alliance Of Canada,"150 Isabella St, Ottawa, ON K1S 1V7",No description,613-560-4364,No second phone number,psac.com
Canadian Union Of Postal Workers,"34 Colonnade Rd N, Nepean, ON K2E 7J6",No description,613-565-9292,No second phone number,www.cupw.ca
Canadian Federation Of Nurses Unions,"105-2841 Riverside Dr, Ottawa, ON K1V 8X7",No description,613-526-4661,1-800-321-9821,www.nursesunions.ca
Professional Institute Of The Public Service Of Canada,"250 Tremblay Rd, Ottawa, ON K1G 3J8",No description,613-594-3812,1-800-263-9841,No website
The Professional Institute of the Public Service of Canada,"250 Tremblay Rd, Ottawa, ON K1G 3J8",No description,613-740-1147,No second phone number,pipsc.ca
Professional Institute of the Public Service of Canada (PIPSC),"250 Tremblay Rd, Ottawa, ON K1G 3J8",.,613-228-6310,1-800-267-0446,www.pipsc.ca
Association Of Postal Officials Of Canada,"1-28 Concourse Gate, Nepean, ON K2E 7T7",No description,613-727-1310,No second phone number,www.apoc-aopc.com
Cupe Local 2888,"185 Plains Rd E, Burlington, ON L7T 2C4",No description,905-637-3337,No second phone number,www.facebook.com%2F146836165972
Operative Plasterers & Cement Masons,"32-30 Concourse Gate, Nepean, ON K2E 7V7",No description,613-226-7585,No second phone number,www.facebook.com%2F598030920363
Burlington Professional Firefighters Assoc Local 1552 Office,"1044 Waterdown Rd, Burlington, ON L7T 1N3",No description,905-333-8182,No second phone number,No website
Ontario Taxi Union Local 1688 CAW Canada,"22 Antares Dr, Nepean, ON K2E 7Z6",No description,613-739-0900,No second phone number,No website
Ontario Nurses Association The Ottawa Hospital Local 83,"36 Antares Dr, Nepean, ON K2E 7W5",No description,613-731-1314,No second phone number,www.facebook.com%2F1554727734826
CLAC,"100-38 Antares Dr, Ottawa, ON K2E 7V2","Formed in 1952, CLAC is one of Canada’s fastest-growing unions. Operating through 15 member centres, it is the country’s largest national, independent, multi-sector union represent...
more...
See more text",613-238-2522,1-888-279-2522,clac.ca%2FYour-work%2FJ
Canadian Merchant Service Guild,"9 Antares Dr, Nepean, ON K2E 7V5",No description,613-727-9531,No second phone number,No website
Interntl Union,"21 Antares Dr, Nepean, ON K2E 7T8",No description,613-228-3415,No second phone number,www.iuec.org
Labourers' International Union of North America Local 527,"6 Corvus Crt, Nepean, ON K2E 7Z4","LiUNA Local 527 provides Ottawa and the surrounding areas with high quality Construction Workers in areas such as: Road Building; Masonry; General Labour; Demolition; Restoration; ...
more...
See more text",613-521-6565,No second phone number,liunalocal527.com%2Fliuna-local-527
LIUNA Local 527 Training Centre,"6 Corvus Crt, Nepean, ON K2E 7Z4",No description,613-723-2141,No second phone number,www.facebook.com%2F1619062874821
L I U N A Loc 527 Members Benefits Fund,"6 Corvus Crt, Nepean, ON K2E 7Z4",No description,613-521-6314,No second phone number,www.facebook.com%2F633176500362
National Union Of Public And General Employees,"15 Auriga Dr, Nepean, ON K2E 1B7",No description,613-228-9800,No second phone number,nupge.ca
C A W Canada,"5 Gurdwara Rd, Nepean, ON K2E 7X6",No description,613-523-0434,No second phone number,www.facebook.com%2F260270027645
Canadian Union Of Public Employees,"1375 Saint Laurent Blvd, Ottawa, ON K1G 0Z7",No description,613-749-1099,No second phone number,cupe.ca
Canadian Union Of Public Employees,"1375 St Laurent,, Ottawa, ON K1Z 0Z7",No description,613-237-0115,No second phone number,No website
Canadian Union Of Public Employees,"1378 Triole St, Ottawa, ON K1B 3M4",No description,613-237-0115,No second phone number,cupe.ca
United Brotherhood Of Carpenters & Joiners Of America Local 93,"765 Green Creek Rd, Gloucester, ON K1J 0B2",No description,613-745-1513,No second phone number,www.facebook.com%2F960732300742
Carpenters Union 93,"765 Green Creek Rd, Gloucester, ON K1J 0B2",No description,613-745-1513,1-800-267-1890,thecarpentersunion.ca
Amalgamated Transit Union Loc 279,"C9-2212 Gladwin Cres, Ottawa, ON K1B 5N1",No description,613-738-3177,No second phone number,www.atu279.ca
Amalgamated Transit Union,"2212 Gladwin Cr, Ottawa, ON K1B 5N1",No description,613-747-3495,No second phone number,atu279.ca
International Union Of Operating Engineers Local 772,"5460 Canotek Rd, Gloucester, ON K1J 9H1",No description,613-748-0546,No second phone number,No website
Ottawa Firefighter's Assn,"201-2378 Holly Lane, Ottawa, ON K1V 7P1",No description,613-526-1454,No second phone number,www.ottawafirefighters.org
Ottawa Firefighter's Assn Help Santa Toy Parade,ON K1V 7P,No description,613-526-2706,No second phone number,www.facebook.com%2F810687679112
Ontario Nurses' Assn,"55 Head St, Dundas, ON L9H 3H8",No description,905-628-0850,No second phone number,www.ona.org
CUPE Local 870,"54 Patola Pvt, Ottawa, ON K1T 2X6",No description,613-736-4002,No second phone number,No website
Bricklayers Tile & Terrazzo Union Local 7,"3-2100 Thurston Dr, Ottawa, ON K1G 4K8","If you're a skilled craftworker working in the Ottawa area, contact Local 7, International Union of Bricklayers and Allied Craftworkers. Our union provides strong representation fo...
more...
See more text",613-739-5944,No second phone number,www.local7.ca
Bricklayers Masons Tile & Terrazzo Workers Loc No 7,"3-2100 Thurston Dr, Ottawa, ON K1G 4K8",No description,613-739-5944,No second phone number,www.facebook.com%2F558541660992
Unifor Local 2002,"1000 Airport Parkway Pvt, Ottawa, ON K1V 9B4",No description,613-247-8666,No second phone number,No website
Ontario Public Service,"2255 St. Laurent Blvd, Ottawa, ON K1G 4K3",No description,613-739-4334,No second phone number,opseu464.org
Usw,"2285 St Laurent Blvd, Ottawa, ON K1G 4Z6",No description,613-260-7210,No second phone number,No website
Canadian Union Of Postal Workers,"2285 St Laurent Blvd, Ottawa, ON K1G 4Z5",No description,613-739-8051,No second phone number,www.facebook.com%2F248035202211
United Steelworkers Local 5297,"2285 St Laurent Blvd, Ottawa, ON K1G 4Z5",No description,613-260-7209,No second phone number,No website
Union of Environment Workers' Component PSAC,"2181 Thurston Dr, Ottawa, ON K1G 6C9",No description,613-736-5533,No second phone number,www.facebook.com%2Fpages%2FUnion-of-Environment-Workers%2F111345079011
Canadian Union Of Postal Workers,"2285 St. Laurent Blvd, Ottawa, ON K1G 4Z7",No description,613-739-8051,No second phone number,www.facebook.com%2F637356343116
Teamsters Canada Rail Conference Maintenance Of Way Employees Division,"2775 Lancaster Rd, Ottawa, ON K1B 4V8",No description,613-733-4456,No second phone number,www.tcrcmwed.ca
Ontario Public Service Employees Union,"1024 King St W, Hamilton, ON L8S 1L5",No description,905-528-1103,No second phone number,www.opseu.org
Bricklayers' & Masons' Union No 1,"360 James St N, Hamilton, ON L8L 1H5",No description,905-528-2092,No second phone number,www.facebook.com%2F136695590310
United Assn Of Plumbers & Fitters Union Local 71,"1250 Ages Dr, Ottawa, ON K1G 5T4",No description,613-728-5583,No second phone number,uacanada.ca
Teamsters Union Local 91,"1300 Ages Dr, Ottawa, ON K1G 5T4",No description,613-247-1923,No second phone number,teamsters91.com
